No.,State/UT,Initial UR,Final UR,Ki Value,Wi,Pi,Ri,Expression
1,Andaman & Nicobar,9.1,9.7,0.73,6.99,0.0003,0.6,0.020341 * (1 - x_1 * 0.73)
2,Andhra Pradesh,4.7,3.0,-0.1,0.007,0.0697,0.7,0.001464 * (1 - x_2 * -0.1)
3,Arunachal Pradesh,4.3,3.9,-0.69,0.036,0.001,0.77,0.000140 * (1 - x_3 * -0.69)
4,Assam,1.2,2.0,1.0,0.002,0.0256,0.86,0.000102 * (1 - x_4 * 1.0)
5,Bihar,10.5,13.3,0.1,0.012,0.0897,0.89,0.014316 * (1 - x_5 * 0.1)
6,Chandigarh,7.1,4.0,-3.41,0.031,0.0009,0.03,0.000112 * (1 - x_6 * -3.41)
7,Chhattisgarh,5.1,3.1,-0.36,0.002,0.0196,0.77,0.000122 * (1 - x_7 * -0.36)
8,Delhi,3.5,1.9,-0.14,0.009,0.0138,0.02,0.000236 * (1 - x_8 * -0.14)
9,Goa,3.7,2.8,-4.49,6.99,0.0012,0.38,0.023486 * (1 - x_9 * -4.49)
10,Gujarat,1.9,2.0,0.03,6.99,0.0495,0.57,0.692010 * (1 - x_10 * 0.03)
11,Haryana,7.4,9.0,0.04,0.009,0.0208,0.65,0.001685 * (1 - x_11 * 0.04)
12,Himachal Pradesh,4.5,5.2,0.11,0.034,0.0056,0.9,0.000990 * (1 - x_12 * 0.11)
13,Jammu & Kashmir,5.9,4.4,-0.53,0.004,0.0103,0.73,0.000181 * (1 - x_13 * -0.53)
14,Jharkhand,7.3,5.4,-0.28,0.002,0.0269,0.78,0.000291 * (1 - x_14 * -0.28)
15,Karnataka,4.1,2.3,-0.05,0.001,0.05,0.61,0.000115 * (1 - x_15 * -0.05)
16,Kerala,6.1,3.6,-0.26,0.009,0.0277,0.52,0.000897 * (1 - x_16 * -0.26)
17,Ladakh,2.9,6.1,61.3,0.004,0.0002,0.0,0.000005 * (1 - x_17 * 61.3)
18,Madhya Pradesh,3.5,1.8,-0.13,0.007,0.0597,0.72,0.000752 * (1 - x_18 * -0.13)
19,Maharashtra,5.2,2.0,-0.02,0.002,0.0921,0.55,0.000368 * (1 - x_19 * -0.02)
20,Manipur,3.8,2.2,-18.3,6.99,0.0023,0.71,0.035369 * (1 - x_20 * -18.3)
21,Meghalaya,2.1,1.5,-5.95,6.99,0.0024,0.76,0.025164 * (1 - x_21 * -5.95)
22,Mizoram,1.1,0.6,-28.42,6.99,0.0009,0.48,0.003775 * (1 - x_22 * -28.42)
23,Nagaland,8.5,4.1,-4.71,6.99,0.0015,0.71,0.042988 * (1 - x_23 * -4.71)
24,Odisha,3.5,1.8,-0.25,0.001,0.0341,0.83,0.000061 * (1 - x_24 * -0.25)
25,Punjab,7.0,5.8,-0.05,0.012,0.0227,0.63,0.001580 * (1 - x_25 * -0.05)
26,Rajasthan,5.8,3.7,-0.06,0.007,0.0555,0.75,0.001437 * (1 - x_26 * -0.06)
27,Sikkim,4.5,3.8,-4.32,0.204,0.0005,0.75,0.000388 * (1 - x_27 * -4.32)
28,Tamil Nadu,5.2,4.3,-0.13,0.004,0.0592,0.52,0.001018 * (1 - x_28 * -0.13)
29,Telangana,4.9,4.4,-0.04,0.007,0.0234,0.56,0.000721 * (1 - x_29 * -0.04)
30,Tripura,3.2,1.4,-6.26,0.012,0.003,0.74,0.000050 * (1 - x_30 * -6.26)
31,Uttarakhand,6.9,4.5,-0.14,0.023,0.0084,0.7,0.000869 * (1 - x_31 * -0.14)
32,Uttar Pradesh,4.2,2.4,-0.11,0.004,0.166,0.78,0.001594 * (1 - x_32 * -0.11)
33,West Bengal,3.5,2.2,-0.06,6.99,0.0749,0.68,1.151812 * (1 - x_33 * -0.06)
34,Dadra & Nagar Haveli and Daman & Diu,4.2,2.5,-40.48,6.99,0.0003,0.31,0.005242 * (1 - x_34 * -40.48)
35,Lakshadweep,13.4,11.1,-19.07,6.99,0.0001,0.23,0.007759 * (1 - x_35 * -19.07)
36,Puducherry,6.7,5.6,-2.93,0.212,0.001,0.32,0.001187 * (1 - x_36 * -2.93)
