State,GDP_2023_24_Lakh
Andaman & Nicobar Islands,143074
Andhra Pradesh,143067387
Arunachal Pradesh,28089357
Assam,570424261
Bihar,85442901
Chandigarh,32194473
Chhattisgarh,505886651
Daman & Diu,143074
Delhi,110774645
Goa,143074
Gujarat,143074
Haryana,109553506
Himachal Pradesh,29743301
Jammu & Kashmir,241131261
Jharkhand,468101045
Karnataka,950703308
Kerala,114601867
Ladakh,241131261
Lakshadweep,143074
Madhya Pradesh,133632724
Maharashtra,404425073
Manipur,143074
Meghalaya,143074
Mizoram,143074
Nagaland,143074
Odisha,749888879
Puducherry,4709195
Punjab,85352360
Rajasthan,152838775
Sikkim,4893694
Tamil Nadu,271857051
Telangana,151216874
Tripura,82682473
Uttar Pradesh,247867189
Uttarakhand,42602044
West Bengal,143074
