State,Total,Urban,Rural,P_i,R_i
Andaman & Nicobar Islands,381,143,237,0.00031,1
Andhra Pradesh,84581,28219,56362,0.06985,1
Arunachal Pradesh,1384,317,1066,0.00114,1
Assam,31206,4399,26807,0.02577,1
Bihar,104099,11758,92341,0.08597,1
Chandigarh,1055,1026,29,0.00087,0
Chhattisgarh,25545,5937,19608,0.0211,1
Dadra & Nagar Haveli,344,161,183,0.00028,1
Daman & Diu,243,183,60,0.0002,0
Delhi,16788,16369,419,0.01386,0
Goa,1459,907,552,0.0012,0
Gujarat,60440,25745,34695,0.04992,1
Haryana,25351,8842,16509,0.02094,1
Himachal Pradesh,6865,689,6176,0.00567,1
Jammu & Kashmir,12541,3433,9108,0.01036,1
Jharkhand,32988,7933,25055,0.02724,1
Karnataka,61095,23626,37469,0.05046,1
Kerala,33406,15935,17471,0.02759,1
Lakshadweep,64,50,14,5e-05,0
Madhya Pradesh,72627,20069,52557,0.05998,1
Maharashtra,112374,50818,61556,0.09281,1
Manipur,2856,834,2022,0.00236,1
Meghalaya,2967,595,2371,0.00245,1
Mizoram,1097,572,525,0.00091,0
Nagaland,1979,571,1408,0.00163,1
Odisha,41974,7004,34971,0.03466,1
Puducherry,1248,853,395,0.00103,0
Punjab,27743,10399,17344,0.02291,1
Rajasthan,68548,17048,51500,0.05661,1
Sikkim,611,154,457,0.0005,1
Tamil Nadu,72147,34917,37230,0.05958,1
Tripura,3674,961,2712,0.00303,1
Uttar Pradesh,199812,44495,155317,0.16502,1
Uttarakhand,10086,3049,7037,0.00833,1
West Bengal,91276,29093,62183,0.07538,1
